week_of,rank_current_week,title,artist,rank_prior_week,peak_pos,weeks_on_chart,artist_title,base_artist,expand,key
12/25/2010,68,rolling in the deep,Adele,-,68,1,Adele-Rolling In The Deep,adele,,adele_rolling in the deep
1/29/2011,97,rolling in the deep,Adele,-,68,2,Adele-Rolling In The Deep,adele,,adele_rolling in the deep
2/5/2011,84,rolling in the deep,Adele,97,68,3,Adele-Rolling In The Deep,adele,,adele_rolling in the deep
2/12/2011,69,rolling in the deep,Adele,84,68,4,Adele-Rolling In The Deep,adele,,adele_rolling in the deep
2/12/2011,78,party rock anthem,LMFAO Featuring Lauren Bennett & GoonRock,-,78,1,LMFAO Featuring Lauren Bennett & GoonRock-Party Rock Anthem,lmfao,Lauren Bennett & GoonRock,lmfao_party rock anthem
2/19/2011,64,rolling in the deep,Adele,69,64,5,Adele-Rolling In The Deep,adele,,adele_rolling in the deep
2/26/2011,41,rolling in the deep,Adele,64,41,6,Adele-Rolling In The Deep,adele,,adele_rolling in the deep
3/5/2011,26,rolling in the deep,Adele,41,26,7,Adele-Rolling In The Deep,adele,,adele_rolling in the deep
3/12/2011,13,rolling in the deep,Adele,26,13,8,Adele-Rolling In The Deep,adele,,adele_rolling in the deep
3/19/2011,18,rolling in the deep,Adele,13,13,9,Adele-Rolling In The Deep,adele,,adele_rolling in the deep
3/26/2011,25,rolling in the deep,Adele,18,13,10,Adele-Rolling In The Deep,adele,,adele_rolling in the deep
4/2/2011,26,rolling in the deep,Adele,25,13,11,Adele-Rolling In The Deep,adele,,adele_rolling in the deep
4/9/2011,17,rolling in the deep,Adele,26,13,12,Adele-Rolling In The Deep,adele,,adele_rolling in the deep
4/16/2011,10,rolling in the deep,Adele,17,10,13,Adele-Rolling In The Deep,adele,,adele_rolling in the deep
